gene_name,count
Olfr782,9
Olfr564,9
Olfr171,9
Olfr98,9
Olfr726,9
Olfr955,9
Olfr960,9
Olfr1084,9
Olfr1082,9
Olfr1049,9
Olfr885,9
Olfr746,9
Olfr987,9
Olfr742,9
Olfr1080,9
Taar8a,8
Taar7a,8
Olfr1360,8
Olfr1287,8
Olfr952,8
Olfr1471,8
Olfr159,8
Olfr680-ps1,7
Olfr1502,7
Taar7e,7
Olfr1283,7
Taar8b,7
Olfr1511,7
Olfr749,7
Olfr203,7
Olfr1248,6
Olfr1425,6
Olfr724,6
Olfr170,6
Olfr486,6
Olfr723,6
Olfr1111,5
Olfr1282,5
Olfr1315-ps1,5
Olfr1344,5
Olfr331,5
Olfr1373,4
Olfr823,4
Olfr1371,4
Olfr747,4
Taar8c,3
Olfr603,3
Olfr688,2
Olfr773,2
Olfr657,1
Olfr20,1
Olfr1506,1
